knowledge_areas,knowledge_units
Data management systems,"Data Modelling, Databases and Database Management Systems"
Data management systems,Data structures
Data management systems,Data Models and Query Languages
Data management systems,Database design and models
Data management systems,Database administration
Data management systems,Data warehouses
Data management systems,Middleware for databases
Data Management and Enterprise data infrastructure,"Data management, including Reference and Master Data"
Data Management and Enterprise data infrastructure,Data Warehousing and Business Intelligence
Data Management and Enterprise data infrastructure,Data storage and operations
Data Management and Enterprise data infrastructure,Data archives/storage compliance and certification
Data Management and Enterprise data infrastructure,"Metadata, linked data, provenance"
Data Management and Enterprise data infrastructure,"Data infrastructure, data registries and data factories"
Data Management and Enterprise data infrastructure,Data security and protection
Data Management and Enterprise data infrastructure,Data backup
Data Management and Enterprise data infrastructure,Data anonymisation
Data Management and Enterprise data infrastructure,Data Privacy
Data Governance,"Data governance, data quality, data Integration and Interoperability"
Data Governance,Data Management Planning
Data Governance,Data Management Policy
Data Governance,Data interoperability
Data Governance,Data curation
Data Governance,Data provenance
Data Governance,"Responsible data use, data privacy, ethical principles, IPR, legal issues"
Big Data storage (large scale),Big Data storage infrastructure and operations
Big Data storage (large scale),"Storage architectures, distributed files systems (HDFS, Ceph, Lustre, Gluster, etc)"
Big Data storage (large scale),Data storage redundancy and backup
Big Data storage (large scale),"Data factories, data pipelines"
Big Data storage (large scale),"Cloud based storage, Data Lakes"
Digital libraries and archives,Digital libraries and archives organisation
Digital libraries and archives,Information Retrieval
Digital libraries and archives,Data curation and provenance
Digital libraries and archives,Search Engines technologies
Research Methods,"Research methodology, paradigms and research cycle"
Research Methods,Modelling and experiment planning
Research Methods,Data selection and quality evaluation
Research Methods,Data lifecycle
Research Methods,Use cases analysis: research infrastructures and projects
Research Methods,Research data management plan and ethical issues
Project Management,Project Integration Management 
Project Management,Project Scope Management
Project Management,Project Quality
Project Management,Project Risk Management
Business Analytics Foundation,"Business Analytics and Business Intelligence: Data, Models (statistical) and Decisions"
Business Analytics Foundation,"Data driven Customer Relations Management (CRP), User Experience (UX) requirements and design"
Business Analytics Foundation,Operations Analytics
Business Analytics Foundation,Business Process Optimization
Business Analytics Foundation,"Data Warehouses technologies, data integration and analytics"
Business Analytics Foundation,Data driven marketing technologies
Business Analytics Foundation,Business Analytics Capstone
Business Analytics Foundation,Econometrics methods and application for Business Analytics
Business Analytics Foundation,Cognitive technologies for Business Analytics
Business Analytics organisation and enterprise management,Business processes and operations
Business Analytics organisation and enterprise management,Project scope and risk management
Business Analytics organisation and enterprise management,Business Analysis Planning and Monitoring
Business Analytics organisation and enterprise management,Requirements Analysis and Design Definition
Business Analytics organisation and enterprise management,Requirements Life Cycle Management (from inception to retirement)
Business Analytics organisation and enterprise management,Solution Evaluation and improvements recommendation
Business Analytics organisation and enterprise management,"Agile Data Driven methodologies, processes and enterprises"
Business Analytics organisation and enterprise management,Use cases analysis: business and industry
